   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
    672000   1308.2597     -2280.5525      0             -2111.6158      2304.2746      16336.285    
    674000   1341.3576     -2264.5067      0             -2091.296      -5060.4669      16592.221    
    676000   1313.2029     -2269.9501      0             -2100.3751      2054.6517      16397.773    
    678000   1375.6913     -2267.6251      0             -2089.9809     -277.58548      16472.794    
    680000   1303.4852     -2261.5282      0             -2093.208       444.4223       16482.001    
    682000   1347.8013     -2268.8294      0             -2094.7867     -1183.9927      16482.498    
    684000   1300.4843     -2276.7233      0             -2108.7906      729.53849      16378.752    
    686000   1293.1368     -2268.9179      0             -2101.9341      93.187398      16449.168    
    688000   1339.4429     -2276.0279      0             -2103.0645      2154.0251      16366.086    
    690000   1288.506      -2270.9488      0             -2104.5628      727.70554      16412.658    
    692000   1409.3604     -2261.9644      0             -2079.9725     -1518.9675      16533.341    
    694000   1310.2251     -2272.4506      0             -2103.26       -1465.3876      16468.203    
    696000   1374.8926     -2263.5778      0             -2086.0367     -1547.4597      16536.066    
    698000   1333.9451     -2266.6763      0             -2094.4228      99.588188      16460.423    
    700000   1370.7972     -2266.7865      0             -2089.7743     -2615.1434      16538.812    
    702000   1353.5479     -2278.5163      0             -2103.7315      6307.8992      16275.157    
    704000   1264.7225     -2265.1846      0             -2101.8698     -2079.929       16503.04     
    706000   1327.9309     -2275.8746      0             -2104.3977     -1931.0258      16455.621    
    708000   1310.4333     -2271.248       0             -2102.0306      798.96673      16422.079    
    710000   1334.1231     -2254.6084      0             -2082.3319     -5160.3858      16642.221    
    712000   1415.3722     -2267.7323      0             -2084.964       336.93799      16463.038    
    714000   1396.963      -2260.5264      0             -2080.1353     -4095.6869      16601.564    
    716000   1357.2596     -2275.6733      0             -2100.4091     -826.93082      16440.842    
    718000   1348.7927     -2256.4969      0             -2082.3262     -2122.6718      16575.965    
    720000   1339.1714     -2279.7025      0             -2106.7741     -146.24385      16396.812    
    722000   1411.0081     -2275.5137      0             -2093.309       2057.1477      16391.518    
    724000   1385.9284     -2252.9308      0             -2073.9646     -5379.7747      16668.785    
    726000   1349.9187     -2262.0991      0             -2087.7829     -1055.1501      16512.137    
    728000   1394.4142     -2274.4634      0             -2094.4015      4860.4716      16330.838    
    730000   1253.8226     -2258.5632      0             -2096.656      -2336.2674      16549.508    
    732000   1415.7029     -2270.5408      0             -2087.7298      1953.01        16417.453    
